title,price,reviews,star_rating,url,image
Peale 89'' Full-Grain Genuine Italian Leather Sofa,"$1,829.99",(197),5.0,https://www.wayfair.com/furniture/pdp/birch-lane-peale-89-full-grain-genuine-italian-leather-sofa-w005161415.html?piid=506782066&auctionId=8c89095c-05b4-4dfd-b27e-138ac30ea8bc&adTypeId=1,https://assets.wfcdn.com/im/00399102/resize-h400-w400%5Ecompr-r85/3216/321602351/Peale+89%27%27+Full-Grain+Genuine+Italian+Leather+Sofa.jpg
Hayle 3-Seater Faux Leather Sofa with Storage,$610.00,(10),4.5,https://www.wayfair.com/furniture/pdp/ebern-designs-hayle-3-seater-faux-leather-sofa-with-storage-bfit1168.html?piid=107096189&auctionId=8c89095c-05b4-4dfd-b27e-138ac30ea8bc&adTypeId=1,https://assets.wfcdn.com/im/68407982/resize-h400-w400%5Ecompr-r85/3154/315474641/Hayle+3-Seater+Faux+Leather+Sofa+with+Storage.jpg
Ridhay 88'' Leather Sofa,"$1,629.99",(17),4.5,https://www.wayfair.com/furniture/pdp/red-barrel-studio-ridhay-holiman-88-genuine-leather-pillow-top-arm-sofa-w100222645.html?piid=2109982509&auctionId=8c89095c-05b4-4dfd-b27e-138ac30ea8bc&adTypeId=1,https://assets.wfcdn.com/im/44071484/resize-h400-w400%5Ecompr-r85/2474/247452609/Ridhay+88%27%27+Leather+Sofa.jpg
Canale Full-Grain Genuine Italian Leather Tufted Sofa,"$1,727.99",(43),4.5,https://www.wayfair.com/furniture/pdp/poly-bark-canale-full-grain-genuine-italian-leather-tufted-sofa-w004363869.html?piid=2029221380%2C2121503444&auctionId=8c89095c-05b4-4dfd-b27e-138ac30ea8bc&adTypeId=1,https://assets.wfcdn.com/im/81765949/resize-h400-w400%5Ecompr-r85/2305/230558311/Canale+Full-Grain+Genuine+Italian+Leather+Tufted+Sofa.jpg
"Magean Breathing Leather 3-Piece Living Room Recliner Sofa Set, Black","$1,540.00",(56),4.5,https://www.wayfair.com/furniture/pdp/wrought-studio-magean-breathing-leather-3-piece-living-room-recliner-sofa-set-black-shlc4565.html,https://assets.wfcdn.com/im/40286672/resize-h400-w400%5Ecompr-r85/3116/311660664/Magean+Breathing+Leather+3-Piece+Living+Room+Recliner+Sofa+Set%2C+Black.jpg
Mavretta Faux Leather Sectional,$539.99,(1403),4.5,https://www.wayfair.com/furniture/pdp/latitude-run-mavretta-1035-wide-faux-leather-sofa-chaise-w004995076.html?piid=377863758%2C377863752,https://assets.wfcdn.com/im/32139990/resize-h400-w400%5Ecompr-r85/1408/140892500/Mavretta+Faux+Leather+Sectional.jpg
Maumee Upholstered Sectional,$669.99,(3251),4.5,https://www.wayfair.com/furniture/pdp/winston-porter-maumee-1035-wide-faux-leather-sofa-chaise-with-ottoman-w000108199.html?piid=2114054395%2C2103727431,https://assets.wfcdn.com/im/85995705/resize-h400-w400%5Ecompr-r85/1086/108618354/Maumee+Upholstered+Sectional.jpg
"81.5"" Wide Modern Comfortable Faux Leather Power Reclining Sofa with  USB and Cup Holders",$999.99,(12),4.5,https://www.wayfair.com/furniture/pdp/latitude-run-815-wide-modern-comfortable-faux-leather-power-reclining-sofa-with-usb-and-cup-holders-w111502969.html?piid=260856934&auctionId=8c89095c-05b4-4dfd-b27e-138ac30ea8bc&adTypeId=1,https://assets.wfcdn.com/im/84875336/resize-h400-w400%5Ecompr-r85/3056/305690961/81.5%22+Wide+Modern+Comfortable+Faux+Leather+Power+Reclining+Sofa+with++USB+and+Cup+Holders.jpg
Latitude Run® Luxurious Vegan Leather Sofa,"$1,299.99",(3),5.0,https://www.wayfair.com/furniture/pdp/latitude-run-luxurious-vegan-leather-sofa-w112884550.html?piid=1820623976&auctionId=8c89095c-05b4-4dfd-b27e-138ac30ea8bc&adTypeId=1,https://assets.wfcdn.com/im/37306883/resize-h400-w400%5Ecompr-r85/3253/325371528/Latitude+Run%C2%AE+Luxurious+Vegan+Leather+Sofa.jpg
Bushea 84'' Faux Leather Sofa,$489.99,(82),4.5,https://www.wayfair.com/furniture/pdp/charlton-home-84-upholstered-sofa-w010769802.html?piid=1738699780&auctionId=8c89095c-05b4-4dfd-b27e-138ac30ea8bc&adTypeId=1,https://assets.wfcdn.com/im/12565018/resize-h400-w400%5Ecompr-r85/2328/232806493/Bushea+84%27%27+Faux+Leather+Sofa.jpg
